train_grid,test_grid,mmd_degree,mmd_laplacian
IEEE118,IEEE118,0.0,0.0
IEEE118,IEEE24,0.4205756754700408,1.4142135623730951
IEEE118,IEEE39,0.3996971648838745,1.4142135623730951
IEEE118,UK,0.41763743845357804,1.4142135623730951
IEEE24,IEEE118,0.4205756754700408,1.4142135623730951
IEEE24,IEEE24,0.0,0.0
IEEE24,IEEE39,0.12345698217356615,1.4142135623730951
IEEE24,UK,0.11684684187637537,1.4142135623730951
IEEE39,IEEE118,0.3996971648838745,1.4142135623730951
IEEE39,IEEE24,0.12345698217356615,1.4142135623730951
IEEE39,IEEE39,0.0,0.0
IEEE39,UK,0.09683978814021009,1.4142135623730951
UK,IEEE118,0.41763743845357804,1.4142135623730951
UK,IEEE24,0.11684684187637537,1.4142135623730951
UK,IEEE39,0.09683978814021009,1.4142135623730951
UK,UK,0.0,0.0
